,0,1,2,3,Cluster
냄새,-3.5792785,1.9176052,-5.369357,4.0361524,5
어른,-2.6825376,3.5707636,-2.0720568,0.2096508,5
겁,-3.6136675,3.548855,0.29553902,0.47279474,5
표정,-2.5311673,2.7607794,-3.2398622,1.3266808,5
시원,-2.8742383,0.76111346,-1.6918836,2.4685113,5
수염,-6.0938625,2.9574142,-0.9930742,1.8912196,5
악마,-3.468004,3.847329,-1.188154,-0.38519484,5
귀엽,-2.8313985,3.5745876,-0.47958073,2.145552,5
춤,-6.370973,4.2673106,-2.605559,-0.024637412,5
노래,-5.7750106,4.8160768,-0.42443916,-1.4733332,5
얼굴,-4.639375,6.3413877,-2.3371503,2.8273146,5
웃음,-2.7686126,2.7544065,-2.764137,-0.25706127,5
음식,-4.954098,2.151935,-6.2660394,0.11104113,5
착하,-2.766506,2.817459,0.4946652,1.2480791,5
벌레,-6.325471,1.9993508,-1.834151,3.0234473,5
따뜻,-2.4785507,2.636802,-2.4837742,6.9448943,5
비교,3.8378694,-4.9040594,-3.4734147,10.828624,6
폭발,-0.0011135968,-2.814615,0.8858079,9.1421795,6
섭취,0.88636154,-2.000616,-2.938643,8.136296,6
발견,-1.1545411,-3.4694016,3.6628573,12.319251,6
이동,1.9750133,-6.258935,1.7851987,8.505097,6
이용,3.423148,-7.661289,0.21082735,11.835616,6
비하,-0.4083219,-6.73728,-5.77958,12.399812,6
노출,2.9759912,-4.499579,-3.2233,9.563215,6
방출,1.4001168,-2.9205294,0.4827413,10.37702,6
집중,4.4177155,-6.1014,-1.8188936,5.4289975,6
전환,4.9566016,-8.822955,0.5923573,4.603108,6
갈등,5.4827614,2.6794066,-3.0857248,-2.726311,7
집착,3.3231885,5.003172,-2.347076,2.588121,7
성취,4.130305,1.3575354,-2.9015534,0.6818437,7
불편,4.580819,1.9421468,-3.2961524,4.27681,7
도움,3.4256246,3.7534254,-0.054964736,0.7395379,7
잘못,4.7172565,2.8571515,0.238397,0.91688615,7
어려움,5.0324,1.2956525,-5.224978,-1.2679082,7
